"","coeff (Intercept)","coeff trial","Std. Error (Intercept)","Std. Error trial","P-value (Intercept)","P-value trial","R-squared"
"1",25.735084934743,-0.17445265166987,3.94570633679162,0.0634262853103356,2.48582373547333e-09,0.00700953422220601,0.0672067208461989
"2",14.5323840652228,0.0282832141055455,2.15749865300252,0.0309474558463463,6.28246372524691e-10,0.362627351150515,0.00702849591115887
"3",25.0611721609956,-0.101663326191831,3.92909442517621,0.0643537606547153,5.1667229975567e-09,0.117228654581859,0.0236562708565241
"4",9.94636744733316,-0.0219894506571494,2.22617192102929,0.0354561201118131,1.98375175045935e-05,0.536465239945336,0.00361549230004054
"5",10.0540404038008,-0.0223223290992955,1.92312983598442,0.0273590604339229,7.42314628547316e-07,0.416185992441699,0.00556297336798319
"6",15.1729135426139,0.0214080993803098,2.15615949980504,0.0319878917769933,1.56246392774487e-10,0.50468511486131,0.00391360639214283
"7",15.8776573066697,0.00216797281676169,3.41736906667466,0.0534453447605313,9.59578404474528e-06,0.967718142014325,1.52355286034867e-05
"8",13.516588857538,0.0728816044342211,3.46530816663953,0.0497068544315492,0.000160022746658058,0.145245920344755,0.017892875581253
"9",14.9220821665007,-0.0102823498584137,1.9082828204165,0.0273726698484811,2.47445919597579e-12,0.707856804517311,0.00119439890541232
"10",15.5375661377807,-0.0210473690811609,2.72381805430485,0.0372213052267356,8.10320647013626e-08,0.57277883688379,0.00257200793437416
"11",7.43765583807077,0.0208562458476746,1.29143723240409,0.0200164697875958,7.91037472303633e-08,0.299738430566033,0.00986203454837229
"12",13.7222946542008,-0.0475094861925214,1.99556833006366,0.0291068075565502,3.2885878180186e-10,0.105339330259106,0.0224518275169267
"13",10.8328964713881,0.0556573069637113,2.94774828289307,0.0412578603034903,0.000355787382124041,0.179852545168896,0.0148170750674013
"14",9.26143222728466,0.00687396500247973,1.99297418352713,0.0290689700528802,8.96554788426414e-06,0.8134843554716,0.000481823581382713
"15",19.4115648022205,-0.0796383674375488,3.18101466527149,0.0480147459328858,1.53434886414053e-08,0.0999897970187421,0.0239739078635368
"16",14.9787059797017,0.139430014417489,3.62161326208229,0.0561327415873541,6.97544348504658e-05,0.01451596821449,0.0535723804140293
"17",15.743541455007,0.00206300107124045,2.15963411303277,0.0314998256755259,4.09580799672529e-11,0.947894646468716,3.69750320143856e-05
"18",10.6218507753325,-0.0410914828058307,1.25990779611493,0.0168187157339297,6.4362112166865e-14,0.0159320556832791,0.0448917801842368
