"","ID","coeff (Intercept)","coeff distance","Std. Error (Intercept)","Std. Error distance","P-value (Intercept)","P-value distance","R-squared"
"1","c_distance_.67045","12.2653110660412","0.105758597237129","3.05978820401122","0.0590964589277758","8.97357346090315e-05","0.0752194719123876","0.0176743690805289"
"2","c_distance_.67051","10.5124915970199","0.000430561967405699","3.01036409876172","0.0606561466831576","0.000604432643419633","0.994344288075081","2.83075035121879e-07"
"3","c_distance_.67174","8.17757979472597","0.0737276693122711","2.82471260119034","0.057726758557349","0.00426620532231666","0.203200879644169","0.0090808165108"
"4","c_distance_.67258","7.63493384439703","0.0175429917383595","2.17874608551008","0.043630752725179","0.000579163208197428","0.688108574008462","0.000907418519388926"
"5","c_distance_.67507","4.17026328789456","0.0771338472018544","1.52042343884857","0.0301171647610009","0.00671418486626407","0.0112627385624253","0.0355406796618975"
"6","c_distance_.67609","48.9328484076649","-0.268992212436369","6.95202989695251","0.144443772351475","4.05231792710444e-11","0.064214264761661","0.0191109231327313"
"7","c_distance_.67630","8.06870968651086","0.0317544753903807","2.10033715362944","0.0413656768407456","0.000169820616471859","0.44371062584935","0.0032996980671234"
"8","c_distance_.69202","9.4523642008029","0.0705959274729483","2.09119366878181","0.0423789583170947","1.12442503413591e-05","0.0975071726897415","0.0153504261478921"
"9","c_distance_.69484","10.050748775358","-0.0107792632085264","1.95610779455144","0.0388471099431711","7.24552516851751e-07","0.781734212797571","0.000432367365196973"
"10","c_distance_.69571","3.11972070829282","0.0807293697200632","2.10885277530564","0.0413494438183825","0.140815723979945","0.0524629352773757","0.0209653368745998"
"11","c_distance_.69661","3.88971424536342","0.101249352517341","2.42269329853606","0.0487885699293518","0.110149182543293","0.0393997409480886","0.0236235746733401"
"12","c_distance_.69679","6.43363166630634","0.091501594456704","3.03438955193461","0.0600219996040254","0.0353713405622869","0.129166678792455","0.0128879210940123"
"13","c_distance_.69712","6.4175268996866","0.0305819570351219","1.99173483096139","0.0392607255046729","0.00151346848030429","0.437046272694196","0.0033971601754207"
"14","c_distance_.70516","1.26889484891972","0.150762993508345","1.64928463999583","0.0335298159787661","0.442698903107011","1.24289656288726e-05","0.101996483587284"
