group,frequency,feedback,learningR,,
lograteTT,Trial,Genuine,-0.007190937,,
lograteTT,Trial,Genuine,0.000938397,,
lograteTT,Trial,Genuine,-0.002055057,,
lograteTT,Trial,Genuine,-0.002731526,,
lograteTT,Trial,Genuine,-0.003588047,,
lograteTT,Trial,Genuine,-0.004108108,,
lograteTT,Trial,Genuine,0.000884603,,
lograteTT,Trial,Genuine,0.001806469,,
lograteTT,Trial,Genuine,-0.002457862,,
lograteTT,Trial,Genuine,-0.003002884,,
lograteTT,Trial,Genuine,0.000887221,,
lograteTT,Trial,Genuine,-0.003184639,,
lograteTT,Trial,Genuine,-7.43E-06,,
lograteTT,Trial,Genuine,-0.000763926,,
lograteTT,Trial,Genuine,-0.003331133,,
lograteTT,Trial,Genuine,-0.00066246,,
lograteTT,Trial,Genuine,0.001209302,,
lograteTT,Trial,Genuine,-0.00085859,,
lograteTT,Trial,Genuine,-0.001567589,,
lograteTP,Trial,Positive,-0.002306124, , 
lograteTP,Trial,Positive,-0.00228783, , 
lograteTP,Trial,Positive,0.001531543,,
lograteTP,Trial,Positive,-0.00063551,,
lograteTP,Trial,Positive,-0.003759335,,
lograteTP,Trial,Positive,-0.002589219,,
lograteTP,Trial,Positive,0.000948534,,
lograteTP,Trial,Positive,-0.002030689,,
lograteTP,Trial,Positive,-0.003433688,,
lograteTP,Trial,Positive,-0.000865664,,
lograteTP,Trial,Positive,-0.000194819,,
lograteTP,Trial,Positive,0.000340742,,
lograteTP,Trial,Positive,0.001336272,,
lograteTP,Trial,Positive,0.001352036,,
lograteTP,Trial,Positive,-0.004608136,,
lograteTP,Trial,Positive,-0.001146792,,
lograteBT,Block,Genuine,-0.000473011,,
lograteBT,Block,Genuine,0.000730427,,
lograteBT,Block,Genuine,0.000936243,,
lograteBT,Block,Genuine,0.000137891,,
lograteBT,Block,Genuine,-0.000631073,,
lograteBT,Block,Genuine,0.002349114,,
lograteBT,Block,Genuine,0.002522016,,
lograteBT,Block,Genuine,-0.001534561,,
lograteBT,Block,Genuine,-0.005904548,,
lograteBT,Block,Genuine,-0.001266097,,
lograteBT,Block,Genuine,-0.004881756,,
lograteBT,Block,Genuine,-0.001143216,,
lograteBT,Block,Genuine,-0.005177914,,
lograteBT,Block,Genuine,-0.004936398,,
lograteBT,Block,Genuine,0.001159715,,
lograteBT,Block,Genuine,-0.000871104,,
lograteBT,Block,Genuine,-0.002467503,,
lograteBT,Block,Genuine,0.001039505,,
lograteBT,Block,Genuine,-0.002262793,,
lograteBT,Block,Genuine,-0.003590244,,
lograteBT,Block,Genuine,-0.001313265,,
lograteBP,Block,Positive,-0.002907854,,
lograteBP,Block,Positive,-0.002070478,,
lograteBP,Block,Positive,0.002529168,,
lograteBP,Block,Positive,0.000983105,,
lograteBP,Block,Positive,-0.010034181,,
lograteBP,Block,Positive,-0.004647705,,
lograteBP,Block,Positive,-0.00827705,,
lograteBP,Block,Positive,-0.000211819,,
lograteBP,Block,Positive,0.001750781,,
lograteBP,Block,Positive,-0.00072132,,
lograteBP,Block,Positive,-0.002214691,,
lograteBP,Block,Positive,0.001192026,,
lograteBP,Block,Positive,0.000248895,,
lograteBP,Block,Positive,-0.001629871,,
lograteBP,Block,Positive,0.000849786,,
lograteBP,Block,Positive,-0.00531074,,
lograteBP,Block,Positive,0.001752872,,
lograteBP,Block,Positive,0.000497995,,
lograteBP,Block,Positive,-0.001567838,,
lograteN,None,None,-0.000489383,,
lograteN,None,None,-0.003000612,,
lograteN,None,None,0.000511845,,
lograteN,None,None,-0.002259806,,
lograteN,None,None,0.000760326,,
lograteN,None,None,-0.000934677,,
lograteN,None,None,-0.00229897,,
lograteN,None,None,0.000123328,,
lograteN,None,None,-0.00127309,,
lograteN,None,None,-0.00303265,,
lograteN,None,None,-0.004809339,,
lograteN,None,None,0.001026438,,
lograteN,None,None,-0.000464348,,
lograteN,None,None,0.002009723,,
lograteN,None,None,-0.00022287,,
lograteN,None,None,-0.001319789,,
lograteN,None,None,-0.001647038,,
lograteN,None,None,-0.000407102,,
lograteN,None,None,-0.00098489,,
