"","ID","t-value","p-value","Std error","bayes factor"
"t","X68803","2.14478753614616","0.0470080514742744","0.0904097920184165","1.83441532151156"
"t1","X68851","2.61557562023073","0.0170369923509611","0.090915292792168","3.91888380413797"
"t2","X69100","1.68200527967213","0.108617638880778","0.0862389905785205","0.981892848765631"
"t3","X69241","2.12076274618525","0.0496702791933767","0.106068630262685","1.77035273357154"
"t4","X69247","6.06292396326821","2.30770085962778e-05","0.151351406674306","8032.88737770083"
"t5","X69637","2.08849672902986","0.0547266197826422","0.0910850049332049","1.68868935590374"
"t6","X69859","5.08991612233362","0.000107357918881217","0.155101013145587","780.814614686101"
"t7","X67243","2.55207777290927","0.0200647002026013","0.106276143911351","3.51419833824451"
"t8","X69169","2.15589652218478","0.0451600505424606","0.0723240388992886","1.86502129145576"
"t9","X69745","1.68340530212358","0.113234042154066","0.266915336847193","0.983557033025206"
"t10","X70552","3.54784239059541","0.00227647177656131","0.0676234767651004","23.6576162463977"
"t11","X69139","0.606798899919178","0.54918266362501","0.0541735714051422","0.396084808644095"
"t12","X69016","0.240441120196121","0.811744206794603","0.101489629755353","0.352025889627236"
"t13","X67042","2.10193902257302","0.0517592166727072","0.121505050776417","1.72211899682319"
"t14","X67708","1.55270686355956","0.135882526416821","0.0677951886930408","0.844287771502913"
"t15","X68926","1.76228575603898","0.0935577718681073","0.0752912636020109","1.08418410267127"
"t16","X69670","1.54542378885718","0.138514304532848","0.0778592179920082","0.837406863257938"
"t17","X69739","0.836773460268485","0.409864013764157","0.040799846658273","0.448938568455624"
