0,accuracy,rate,logA,logR,,block
0,18.44330484,0.435404113,1.265838745,-0.361107473,,1
0,13.95840456,0.338329006,1.144835781,-0.470660767,,2
0,14.44273504,0.346184889,1.159649444,-0.460691893,,3
0,12.84729345,0.308756652,1.108811644,-0.510383677,,4
0,13.91282051,0.321604911,1.143415182,-0.492677328,,5
0,13.88774929,0.357178503,1.142631868,-0.447114687,,6
0,13.04615385,0.309121548,1.115482496,-0.50987072,,7
0,12.72991453,0.288460914,1.104825488,-0.539913025,,8
0,13.2011396,0.300337729,1.120611424,-0.522390107,,9
0,14.05698006,0.329646126,1.147892029,-0.481952024,,10
0,14.12649573,0.34505427,1.150034443,-0.462112594,,11
0,13.63817664,0.308473831,1.134756311,-0.510781673,,12
